ServicerIdentifier,NoteDate,PropertyValuationEffectiveDate,NoteAmount,CurrentBalance,CurrentInterestRatePercent,ScheduledFirstPaymentDate,LoanMaturityDate,LastPaidInstallmentDueDate,PropertyValuationAmount,LtvRatioPercentCurrent,CreditScoreValueRecent,TimesDq,Dti,CeilingRatePercent,FloorRatePercent,MarginRatePercent,Vintage,TypeProd,StateCode,Cbsa,NoteRatePercent,Age,MonthsUntilRateReset,IsCurrentlyIo,LastPaymentReceivedDate,NextPayDate,MonthsDq,LtvRatioPercent,IsArm,CurrentLtvRange,PaymentType,DelinquencyCategory
Select Portfolio Servicing,7/1/2007,7/1/2007,60000,45413.75,2,7/1/2007,8/1/2037,10/1/2019,851063.8298,7.05,732,0,40,0,0,3,2007,Fixed,CA,40140,2,147,0,FALSE,9/11/2019,11/1/2019,0,9.31,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,6/1/2007,6/1/2007,56000,40480.32,6,6/1/2007,8/1/2041,10/1/2019,269749.5183,20.76,798,0,34,0,0,3,2007,Fixed,MD,25180,6,148,0,FALSE,9/1/2019,11/1/2019,0,28.72,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,6/1/2007,6/1/2007,45000,28322.26,2,6/1/2007,8/1/2032,10/1/2019,510204.0816,8.82,639,0,42,0,0,3,2007,Fixed,CA,40900,2,148,0,FALSE,9/2/2019,11/1/2019,0,14.02,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,3/1/2007,3/1/2007,82000,61524.58,2,3/1/2007,4/1/2037,10/1/2019,546302.465,15.01,611,0,42,0,0,3,2007,Fixed,CT,35300,2,151,0,FALSE,9/1/2019,11/1/2019,0,20,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,1/1/2007,1/1/2007,68000,50602.3,2,1/1/2007,9/1/2038,10/1/2019,456989.2473,14.88,639,0,42,0,0,3,2007,Fixed,CA,40900,2,153,0,FALSE,8/1/2019,11/1/2019,0,20,FALSE,0.01 - 59.99,NeverBad,Bankruptcy
Select Portfolio Servicing,12/1/2005,12/1/2005,31800,19823.93,2,12/1/2005,2/1/2036,10/1/2019,625984.252,5.08,734,0,40,0,0,3,2005,Fixed,MD,47900,2,166,0,FALSE,9/1/2019,11/1/2019,0,8.15,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,3/1/2007,3/1/2007,33900,26183.16,9.625,3/1/2007,4/1/2022,10/1/2019,219417.4757,15.45,752,0,34,0,0,3,2007,Fixed,CO,24300,9.625,151,0,FALSE,10/1/2019,11/1/2019,0,20,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,5/1/2007,5/1/2007,20000,7477.82,11.59,5/1/2007,6/1/2022,10/1/2019,534759.3583,3.74,578,0,42,0,0,3,2007,Fixed,OH,17460,11.59,149,0,FALSE,9/1/2019,11/1/2019,0,10,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,5/1/2007,5/1/2007,64600,48408.84,2,5/1/2007,6/1/2037,10/1/2019,313592.233,20.6,643,0,42,0,0,3,2007,Fixed,VA,47260,2,149,0,FALSE,9/9/2019,11/1/2019,0,27.49,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,2/1/2007,2/1/2007,99000,87354.86,5,2/1/2007,12/1/2048,10/1/2019,544854.1552,18.17,762,0,34,0,0,3,2007,Fixed,CA,40140,5,152,0,FALSE,9/1/2019,11/1/2019,0,20.59,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,8/1/2007,8/1/2007,69950,9840.14,8,8/1/2007,2/1/2023,10/1/2019,2039358.601,3.43,595,0,42,0,0,3,2007,Fixed,WA,42660,8,146,0,FALSE,9/1/2019,11/1/2019,0,24.37,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,9/1/2006,9/1/2006,26000,19401.47,8.382,9/1/2006,10/1/2036,10/1/2019,179558.011,14.48,704,0,40,0,0,3,2006,Fixed,OH,15940,8.382,157,0,FALSE,9/1/2019,11/1/2019,0,19.4,FALSE,0.01 - 59.99,NeverBad,Current
